// LINWOOD INSTITUTE ROOM 2B - ACCESS TRACKING NODE [ACTIVE]
// Log extraction initialized: April 2024 | Node ID: T-214B

[2024-04-01 | 08:30]  HL99919    H.Liao         ACCESS GRANTED
[2024-04-01 | 10:30]  LL87567    L.Linwood      ACCESS GRANTED
[2024-04-01 | 11:00]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-01 | 11:30]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-01 | 12:15]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-01 | 12:30]  TJ55855    T.Jackson      MANUAL OVERRIDE
[2024-04-01 | 12:45]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-01 | 15:00]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-01 | 17:15]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-01 | 17:15]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-01 | 17:30]  EN11993    E.Noor         ACCESS GRANTED
[2024-04-01 | 17:45]  NV41287    N.Vazquez      ACCESS GRANTED
[2024-04-02 | 08:15]  EN11993    E.Noor         ACCESS GRANTED
[2024-04-02 | 09:15]  NV41287    N.Vazquez      ACCESS GRANTED
[2024-04-02 | 10:00]  HL99919    H.Liao         ACCESS GRANTED
[2024-04-02 | 10:15]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-02 | 10:15]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-02 | 11:30]  AR99152    A.Reynolds     ACCESS GRANTED
[2024-04-02 | 11:45]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-02 | 13:00]  EN11993    E.Noor         ACCESS GRANTED
[2024-04-02 | 13:15]  TJ55855    T.Jackson      MANUAL OVERRIDE
[2024-04-02 | 14:00]  LL87567    L.Linwood      ACCESS GRANTED
[2024-04-02 | 14:15]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-02 | 14:45]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-02 | 15:30]  EP75600    E.Park         ACCESS GRANTED
[2024-04-02 | 16:15]  EP75600    E.Park         ACCESS GRANTED
[2024-04-02 | 17:15]  HL99919    H.Liao         ACCESS GRANTED
[2024-04-03 | 08:15]  HL99919    H.Liao         ACCESS GRANTED
[2024-04-03 | 08:30]  EP75600    E.Park         ACCESS GRANTED
[2024-04-03 | 09:30]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-03 | 11:15]  EN11993    E.Noor         ACCESS GRANTED
[2024-04-03 | 11:30]  EN11993    E.Noor         ACCESS GRANTED
[2024-04-03 | 12:45]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-03 | 13:15]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-03 | 14:30]  LL87567    L.Linwood      ACCESS GRANTED
[2024-04-03 | 15:30]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-03 | 16:15]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-03 | 16:15]  HL99919    H.Liao         ACCESS GRANTED
[2024-04-03 | 16:30]  TJ55855    T.Jackson      MANUAL OVERRIDE
[2024-04-04 | 10:15]  HL99919    H.Liao         ACCESS GRANTED
[2024-04-04 | 10:45]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-04 | 10:45]  EN11993    E.Noor         ACCESS GRANTED
[2024-04-04 | 11:00]  AR99152    A.Reynolds     ACCESS GRANTED
[2024-04-04 | 12:15]  NV41287    N.Vazquez      ACCESS GRANTED
[2024-04-04 | 13:15]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-04 | 13:15]  AR99152    A.Reynolds     ACCESS GRANTED
[2024-04-04 | 13:45]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-04 | 14:00]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-04 | 14:15]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-04 | 14:45]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-04 | 15:30]  AR99152    A.Reynolds     ACCESS GRANTED
[2024-04-04 | 17:30]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-05 | 08:15]  EP75600    E.Park         ACCESS GRANTED
[2024-04-05 | 09:00]  NV41287    N.Vazquez      ACCESS GRANTED
[2024-04-05 | 09:45]  HL99919    H.Liao         ACCESS GRANTED
[2024-04-05 | 10:00]  EP75600    E.Park         ACCESS GRANTED
[2024-04-05 | 10:15]  EP75600    E.Park         ACCESS GRANTED
[2024-04-05 | 11:15]  LL87567    L.Linwood      ACCESS GRANTED
[2024-04-05 | 12:00]  AR99152    A.Reynolds     ACCESS GRANTED
[2024-04-05 | 15:00]  EN11993    E.Noor         ACCESS GRANTED
[2024-04-05 | 16:00]  NV41287    N.Vazquez      ACCESS GRANTED
[2024-04-05 | 16:00]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-05 | 16:15]  NV41287    N.Vazquez      ACCESS GRANTED
[2024-04-05 | 17:00]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-05 | 17:30]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-06 | 08:00]  HL99919    H.Liao         ACCESS GRANTED
[2024-04-06 | 09:15]  HL99919    H.Liao         ACCESS GRANTED
[2024-04-06 | 09:30]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-06 | 10:30]  AR99152    A.Reynolds     ACCESS GRANTED
[2024-04-06 | 10:45]  EN11993    E.Noor         ACCESS GRANTED
[2024-04-06 | 11:15]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-06 | 12:00]  LL87567    L.Linwood      ACCESS GRANTED
[2024-04-06 | 12:15]  LL87567    L.Linwood      ACCESS GRANTED
[2024-04-06 | 13:00]  LL87567    L.Linwood      ACCESS GRANTED
[2024-04-06 | 14:30]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-06 | 15:45]  TJ55855    T.Jackson      MANUAL OVERRIDE
[2024-04-06 | 15:45]  HL99919    H.Liao         ACCESS GRANTED
[2024-04-06 | 16:45]  EN11993    E.Noor         ACCESS GRANTED
[2024-04-06 | 17:00]  TJ55855    T.Jackson      MANUAL OVERRIDE
[2024-04-06 | 17:45]  EN11993    E.Noor         ACCESS GRANTED
[2024-04-07 | 08:30]  NV41287    N.Vazquez      ACCESS GRANTED
[2024-04-07 | 08:45]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-07 | 08:45]  EN11993    E.Noor         ACCESS GRANTED
[2024-04-07 | 10:00]  HL99919    H.Liao         ACCESS GRANTED
[2024-04-07 | 10:45]  HL99919    H.Liao         ACCESS GRANTED
[2024-04-07 | 11:30]  LL87567    L.Linwood      ACCESS GRANTED
[2024-04-07 | 11:45]  HL99919    H.Liao         ACCESS GRANTED
[2024-04-07 | 12:00]  AR99152    A.Reynolds     ACCESS GRANTED
[2024-04-07 | 12:45]  LL87567    L.Linwood      ACCESS GRANTED
[2024-04-07 | 12:45]  NV41287    N.Vazquez      ACCESS GRANTED
[2024-04-07 | 15:00]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-07 | 16:00]  NV41287    N.Vazquez      ACCESS GRANTED
[2024-04-07 | 16:15]  AR99152    A.Reynolds     ACCESS GRANTED
[2024-04-07 | 17:30]  EN11993    E.Noor         ACCESS GRANTED
[2024-04-08 | 08:15]  LL87567    L.Linwood      ACCESS GRANTED
[2024-04-08 | 08:30]  EN11993    E.Noor         ACCESS GRANTED
[2024-04-08 | 10:15]  AR99152    A.Reynolds     ACCESS GRANTED
[2024-04-08 | 11:15]  HL99919    H.Liao         ACCESS GRANTED
[2024-04-08 | 12:30]  AR99152    A.Reynolds     ACCESS GRANTED
[2024-04-08 | 12:30]  AR99152    A.Reynolds     ACCESS GRANTED
[2024-04-08 | 13:30]  NV41287    N.Vazquez      ACCESS GRANTED
[2024-04-08 | 15:45]  TJ55855    T.Jackson      MANUAL OVERRIDE
[2024-04-08 | 16:00]  AR99152    A.Reynolds     ACCESS GRANTED
[2024-04-08 | 17:15]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-09 | 08:45]  EN11993    E.Noor         ACCESS GRANTED
[2024-04-09 | 09:45]  NV41287    N.Vazquez      ACCESS GRANTED
[2024-04-09 | 10:15]  LL87567    L.Linwood      ACCESS GRANTED
[2024-04-09 | 11:45]  NV41287    N.Vazquez      ACCESS GRANTED
[2024-04-09 | 12:30]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-09 | 12:45]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-09 | 13:00]  LL87567    L.Linwood      ACCESS GRANTED
[2024-04-09 | 13:00]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-09 | 14:00]  TJ55855    T.Jackson      MANUAL OVERRIDE
[2024-04-09 | 15:30]  AR99152    A.Reynolds     ACCESS GRANTED
[2024-04-09 | 17:15]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-09 | 17:30]  LL87567    L.Linwood      ACCESS GRANTED
[2019-04-10 | 08:15]  SD44946    S.Delacroix    ACCESS GRANTED
[2019-04-10 | 09:00]  LL87567    L.Linwood      ACCESS GRANTED
[2019-04-10 | 10:15]  SD44946    S.Delacroix    ACCESS GRANTED
[2019-04-10 | 10:15]  SD44946    S.Delacroix    ACCESS GRANTED
[2019-04-10 | 10:30]  SD44946    S.Delacroix    ACCESS GRANTED
[2019-04-10 | 11:45]  SD44946    S.Delacroix    ACCESS GRANTED
[2019-04-10 | 12:00]  SD44946    S.Delacroix    ACCESS GRANTED
[2019-04-10 | 12:15]  SD44946    S.Delacroix    ACCESS GRANTED
[2019-04-10 | 12:15]  SD44946    S.Delacroix    ACCESS GRANTED
[2019-04-10 | 12:30]  SD44946    S.Delacroix    ACCESS GRANTED
[2019-04-10 | 12:45]  AR99152    A.Reynolds     ACCESS GRANTED
[2019-04-10 | 14:15]  LL87567    L.Linwood      ACCESS GRANTED
[2019-04-10 | 14:15]  SD44946    S.Delacroix    ACCESS GRANTED
[2019-04-10 | 15:30]  SD44946    S.Delacroix    ACCESS GRANTED
[2019-04-10 | 17:00]  SD44946    S.Delacroix    ACCESS GRANTED
[2019-04-10 | 17:15]  SD44946    S.Delacroix    ACCESS GRANTED
[2024-04-10 | 08:00]  NV41287    N.Vazquez      ACCESS DENIED
[2024-04-10 | 08:15]  AR99152    A.Reynolds     ACCESS GRANTED
[2024-04-10 | 09:45]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-10 | 09:45]  NV41287    N.Vazquez      ACCESS GRANTED
[2024-04-10 | 10:00]  EN11993    E.Noor         ACCESS GRANTED
[2024-04-10 | 12:00]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-10 | 13:30]  EN11993    E.Noor         ACCESS DENIED
[2024-04-10 | 13:45]  AR99152    A.Reynolds     ACCESS GRANTED
[2024-04-10 | 13:45]  TJ55855    T.Jackson      ACCESS GRANTED
[2024-04-10 | 14:00]  HL99919    H.Liao         ACCESS GRANTED
[2024-04-10 | 14:30]  EP75600    E.Park         ACCESS GRANTED
[2024-04-10 | 16:30]  EP75600    E.Park         ACCESS DENIED
[2024-04-10 | 16:45]  NV41287    N.Vazquez      ACCESS GRANTED
[2024-04-10 | 20:12]  AR99152    A.Reynolds     ACCESS GRANTED
[2024-04-10 | 20:27]  LL87567    L.Linwood      ACCESS GRANTED
[2024-04-10 | 20:42]  ??00000    [UNKNOWN]      ACCESS DENIED
